id,rf_bill_type,rf_bill_no,rf_bill_detail_no,uuid,order_id,order_type,rf_busi_id,rf_busi_type,fee_code,fee_name,invoice_method,direction,currency,bal,account_id,status,bill_type,bill_id,created,related_time,audited,modified,remark,del_status
7386,1,34292310000N22060,20100218040300000005221116,75a37f3ea9f0f612f4e734c593b2cf70,10203,3,10203,201002,35,定额返利,20,-1,CNY,750.96,34292310000,2,,,2018-04-03 17:15:36,,,2018-04-16 11:53:02,,0
1126,1,71076047,16168664112,b6034782d60eb97531cedea230678750,10071,3,10071,201002,35,定额返利,20,-1,CNY,9624.92,33072210000,2,,,2018-01-26 23:02:22,,,2018-04-16 11:54:00,,0
1264,1,74895457,16180865004,85c316bb18cfa6ab144588c206708d49,10072,3,10072,201002,35,定额返利,20,-1,CNY,7000.00,33772910000,3,,,2018-01-26 23:02:24,,,2018-04-16 11:54:14,,0
2877,1,34600710000N9021,20100218020900000002800116,de39b270195fed680fdcd4cc84b591b1,10121,3,10121,201002,35,定额返利,20,-1,CNY,1001.04,34600710000,2,,,2018-02-09 15:43:24,,,2018-04-16 11:54:26,,0
7333,1,34600710000N22050,20100218040300000005015016,454e3a29e3267dad0ae85a8ff35bfe5e,10162,3,10162,201002,35,定额返利,20,-1,CNY,455.92,34600710000,2,,,2018-04-03 13:39:27,,,2018-04-16 11:54:38,,0
7706,1,34600710000N22050,20100218040400000004920216,505e0aa115b649b2a3d1504fd62cc328,10205,3,10205,201002,35,定额返利,20,-1,CNY,5501.60,34600710000,2,,,2018-04-04 09:50:16,,,2018-04-16 11:54:48,,0
4051,1,33372010000N9068,20100218030200000004102616,d4d5aec83ddcb72052d5badc3972dcc8,10126,3,10126,201002,35,定额返利,20,-1,CNY,4680.00,33372010000,2,,,2018-03-02 09:13:44,,,2018-04-16 11:55:00,,0
1535,1,71076170,16168643551,c306caa1aad3e72e0b31739979804a6d,10026,3,10026,201002,35,定额返利,20,-1,CNY,3271.91,33312310000,2,,,2018-01-26 23:02:26,,,2018-04-16 11:55:10,,0
2385,1,33312310000N9052,20100218020100000002102316,02f9acf7d402ed2ca87f4b69975725b9,10076,3,10076,201002,35,定额返利,20,-1,CNY,402.90,33312310000,2,,,2018-02-01 16:32:29,,,2018-04-16 11:55:30,,0
7708,1,33312310000N22106,20100218040400000005321416,4c775fae99b024d1184ead8ba4e974a7,10204,3,10204,201002,35,定额返利,20,-1,CNY,2089.63,33312310000,2,,,2018-04-04 14:40:54,,,2018-04-16 11:55:42,,0
4013,1,33146110000N9002,20100218030100000003703016,032a70c4d43c2609f2466a2d600f9e49,10122,3,10122,201002,35,定额返利,20,-1,CNY,975.20,33146110000,2,,,2018-03-01 15:54:29,,,2018-04-16 11:55:54,,0
7299,1,33146110000N22073,20100218040300000005423116,1e5968f72d23dd5411a102e73914f2be,10164,3,10164,201002,35,定额返利,20,-1,CNY,20073.38,33146110000,2,,,2018-04-03 18:15:09,,,2018-04-16 11:56:03,,0
7465,1,33146110000N22073,20100218040300000005113816,58b0d8a70ed0d029b7fd4ba911d8db36,10202,3,10202,201002,35,定额返利,20,-1,CNY,21105.97,33146110000,2,,,2018-04-03 18:15:07,,,2018-04-16 11:56:12,,0
4865,1,33413010000N16040,20100218031300000003818016,353a7bfe41465b954dd9c4b5de6af804,10161,3,10161,201002,35,定额返利,20,-1,CNY,720.00,33413010000,2,,,2018-03-13 15:16:15,,,2018-04-16 11:56:22,,0
3654,1,33092510000N9101,20100218022400000003000116,44f851c726ba5686a13112037cf9657c,10127,3,10127,201002,35,定额返利,20,-1,CNY,5290.00,33092510000,2,,,2018-02-24 11:00:10,,,2018-04-16 11:56:32,,0
7518,1,33816210000N22113,20100218040300000005113916,7decc36b916d8beb1abe54f7021799c5,10165,3,10165,201002,35,定额返利,20,-1,CNY,1286.50,33816210000,2,,,2018-04-03 20:00:44,,,2018-04-16 11:56:43,,0
