id,account_id
3302,36193910000
1757,34729010000
1805,34729010000
1853,34729010000
1854,34729010000
1905,34729010000
2002,34729010000
2052,34729010000
2155,34729010000
3052,34729010000
3103,34729010000
3201,34729010000
2953,34729110000
3751,36184510000
207,33373910000
1653,33373910000
2901,33373910000
251,30986310000
351,30986310000
401,30986310000
451,30986310000
751,32293610000
851,30986310000
901,30986310000
1051,30986310000
1101,30986310000
1152,32293610000
1654,34292310000
1704,32844210000
1909,32844210000
2056,32293610000
2152,34292310000
3004,34292310000
3053,32293610000
3351,36208010000
204,33810110000
1105,33810110000
1251,34292210000
1656,33810110000
1911,34292210000
3155,34292210000
3252,33810110000
501,33772910000
601,33772910000
951,33776110000
1303,33772910000
1351,33772910000
1601,33436210000
1651,33436210000
1652,33437310000
1655,33772910000
1657,34182110000
1659,33772910000
1710,33772910000
1802,34182110000
1902,33810210000
2005,33437310000
2057,33810210000
2101,33772910000
2601,33436210000
2701,33772910000
3002,33772910000
3056,33772910000
3104,34182110000
3151,33776110000
3152,33772910000
3153,33437310000
3206,33436210000
3551,33810210000
3852,33772910000
102,30986610000
152,33810310000
202,33356010000
1301,34238210000
1501,33810310000
1754,33356010000
1758,34238210000
2801,33810310000
3102,33356010000
3451,33810310000
3803,34238210000
1756,34602410000
2651,33810410000
3055,34602410000
952,33126310000
1102,33126310000
3701,33126310000
3801,37125410000
3951,33126310000
205,33375410000
1053,33352310000
1153,33352310000
1708,33352310000
2952,33352310000
209,33313510000
954,34600710000
1052,33374210000
1304,33313510000
1352,33306910000
1755,33375310000
1810,33375310000
1852,35854710000
1855,35854710000
1906,33313510000
2004,33375310000
2251,34600710000
2352,35854710000
3005,33375310000
3058,35854710000
3106,35854710000
3154,35854710000
3303,35854710000
3353,34600710000
215,33760210000
801,31132310000
1103,31132310000
1451,31132310000
1705,33332310000
1707,31132310000
1804,34300310000
1808,33760210000
1904,31132310000
1951,33760210000
2702,31132310000
3204,33332310000
3253,31132310000
3454,35356310000
3455,33332310000
3802,37542010000
4002,31132310000
210,33287310000
1104,35232110000
1401,33287310000
1703,33332210000
2151,35232110000
2201,33287310000
2401,35046210000
2451,33438910000
2501,33438910000
2551,33438910000
3003,33287310000
3105,35232110000
3651,33332210000
3853,33372010000
4001,35046210000
201,33343510000
206,33794110000
1054,34474310000
1302,33343510000
1660,33794110000
1706,33343510000
1851,31398310000
1901,31398310000
3202,33312310000
3401,34474310000
3601,33343510000
203,33375510000
1003,33307810000
1202,33375510000
1701,33312210000
1907,33375510000
2003,33307810000
2351,33146110000
3057,33146110000
3354,33375510000
3753,33307810000
51,32696110000
1908,35248110000
2154,33286510000
2851,33286510000
3001,33062110000
3051,33062110000
3101,33062110000
3203,33062110000
3452,37808910000
3754,33438610000
3851,34728910000
1001,33401110000
1055,33401110000
214,33482510000
1151,33482510000
1201,34728710000
1709,34728710000
3009,34728710000
802,33413010000
1702,33287910000
1752,33096510000
1806,33413010000
1809,33096510000
1903,33413010000
2055,33287910000
3054,33413010000
3205,33096510000
3501,33287910000
151,33998110000
211,33307310000
212,33307310000
213,33307310000
953,33092210000
1551,33998110000
1658,33092210000
1801,34728510000
1952,33507510000
2001,33507510000
2051,34460610000
2053,33998110000
2054,34728510000
2751,33482710000
2951,34460610000
3008,34728510000
3301,33998110000
3352,33092210000
3752,34618510000
1910,34728410000
2153,33282610000
2954,34728410000
208,33507310000
301,33096810000
955,34460810000
1002,33507310000
2156,34728310000
3006,34728310000
3107,34460810000
3251,33291510000
3254,34460810000
3456,33291510000
1751,33092510000
1753,33092510000
2006,33092510000
2302,34728210000
3453,33092510000
1803,33816210000
1807,33816210000
2301,34728110000
3007,33816210000
